Total_Accidents,Total_Release_BBLS,Total_Recovered_BBLS,Avg_Prop_Damage,Avg_Env_Damage,Total_Fatalities,Total_Injuries,Operational_Rigs,Distillation_Capacity,Refinery_Inputs,%_Utilization_of_Refinery_Operable_Capacity,Date,Strain_Index,Strain_Index_lag1,Strain_Index_lag3,Strain_Index_lag6,Strain_Index_lag12,Total_Accidents_lag1,Total_Accidents_lag3,Total_Accidents_lag6,Total_Accidents_lag12,Operational_Rigs_lag1,Operational_Rigs_lag3,Operational_Rigs_lag6,Operational_Rigs_lag12,Strain_Index_roll3_mean,Strain_Index_roll3_sum,Strain_Index_roll6_mean,Strain_Index_roll6_sum,Strain_Index_roll12_mean,Strain_Index_roll12_sum,Total_Accidents_roll3_mean,Total_Accidents_roll3_sum,Total_Accidents_roll6_mean,Total_Accidents_roll6_sum,Total_Accidents_roll12_mean,Total_Accidents_roll12_sum,Total_Release_BBLS_roll3_mean,Total_Release_BBLS_roll3_sum,Total_Release_BBLS_roll6_mean,Total_Release_BBLS_roll6_sum,Total_Release_BBLS_roll12_mean,Total_Release_BBLS_roll12_sum,Operational_Rigs_roll3_mean,Operational_Rigs_roll3_sum,Operational_Rigs_roll6_mean,Operational_Rigs_roll6_sum,Operational_Rigs_roll12_mean,Operational_Rigs_roll12_sum,target_strain_index
29,9687.69,4823.27,528758.9655172414,140889.9655172414,0,0,793.0,17736.0,15035.0,84.8,2011-01-01,0.15228912945421746,0.11589178128907585,0.17469192149703328,0.08832556553370463,0.2007160311416719,41.0,10.0,29.0,34.0,759.0,693.0,591.0,433.0,0.14177984068224025,0.42533952204672076,0.12628759379040208,0.7577255627424124,0.13665241395979913,1.6398289675175894,30.666666666666668,92.0,29.5,177.0,29.166666666666668,350.0,8075.386666666666,24226.16,10195.803333333333,61174.82,8379.866666666667,100558.4,725.0,2175.0,679.6666666666666,4078.0,586.9166666666666,7043.0,0.19965042850699144
41,5760.41,1183.71,18634.829268292684,71510.43902439025,0,0,801.0,17736.0,14195.0,80.0,2011-02-01,0.19965042850699144,0.15228912945421746,0.13475581926061164,0.10873024894850514,0.18863739763421294,29.0,41.0,27.0,16.0,793.0,723.0,644.0,446.0,0.13431224333463498,0.40293673000390495,0.1369481877771542,0.8216891266629253,0.1326168388191779,1.5914020658301349,37.0,111.0,29.5,177.0,28.75,345.0,7764.723333333332,23294.17,7862.05,47172.3,8556.9925,102683.91,758.3333333333334,2275.0,713.3333333333334,4280.0,616.9166666666666,7403.0,0.1563486693730266
25,1451.16,855.73,59084.12,121082.92,0,0,830.0,17736.0,14963.0,84.4,2011-03-01,0.1563486693730266,0.19965042850699144,0.11589178128907585,0.1353302262134819,0.16799363057324845,41.0,41.0,29.0,32.0,801.0,759.0,668.0,471.0,0.1559437797500949,0.46783133925028475,0.15210155103690193,0.9126093062214116,0.13353459139190946,1.6024150967029134,37.0,111.0,31.833333333333332,191.0,30.833333333333332,370.0,9049.646666666667,27148.940000000002,8043.07,48258.42,7887.7733333333335,94653.28,784.3333333333334,2353.0,739.5,4437.0,646.5,7758.0,0.17061344158773117
23,9183.31,6782.49,40635.69565217391,911100.8260869564,0,0,896.0,17736.0,14710.0,82.9,2011-04-01,0.17061344158773117,0.1563486693730266,0.15228912945421746,0.17469192149703328,0.11353686963443066,25.0,29.0,10.0,32.0,830.0,793.0,693.0,508.0,0.16942940911141183,0.5082882273342355,0.15560462489682605,0.9336277493809563,0.13256417795855766,1.5907701355026918,31.666666666666668,95.0,31.166666666666668,187.0,30.25,363.0,5633.086666666667,16899.260000000002,6854.236666666667,41125.42,7703.441666666667,92441.3,808.0,2424.0,766.5,4599.0,676.4166666666666,8117.0,0.14698917456021654
24,838.32,616.27,46222.083333333336,57983.875,0,0,948.0,17736.0,15129.0,85.3,2011-05-01,0.14698917456021654,0.17061344158773117,0.19965042850699144,0.13475581926061164,0.11819887429643527,23.0,41.0,41.0,30.0,896.0,801.0,723.0,541.0,0.1755375131559164,0.5266125394677492,0.1549248782452757,0.9295492694716542,0.13732055895466602,1.6478467074559922,29.666666666666668,89.0,33.333333333333336,200.0,29.5,354.0,5464.959999999999,16394.879999999997,6614.841666666667,39689.05,8214.2025,98570.43,842.3333333333334,2527.0,800.3333333333334,4802.0,708.75,8505.0,0.11039693279206131
27,12771.86,4790.150000000001,62442.81481481482,41930.851851851854,0,0,979.0,17736.0,15778.0,89.0,2011-06-01,0.11039693279206131,0.14698917456021654,0.1563486693730266,0.11589178128907585,0.09302060149517777,24.0,25.0,41.0,29.0,948.0,830.0,759.0,566.0,0.15798376184032478,0.4739512855209743,0.15696377079520984,0.9417826247712591,0.13971975064331446,1.6766370077197734,24.0,72.0,30.5,183.0,29.0,348.0,3824.263333333333,11472.789999999999,6436.955000000001,38621.73,7858.814166666667,94305.77,891.3333333333334,2674.0,837.8333333333334,5027.0,742.6666666666666,8912.0,0.09782363554352724
31,4728.19,467.3,212450.4193548387,196761.87096774197,0,0,1014.0,17736.0,16001.0,90.2,2011-07-01,0.09782363554352724,0.11039693279206131,0.17061344158773117,0.15228912945421746,0.08832556553370463,27.0,23.0,29.0,29.0,979.0,896.0,793.0,591.0,0.14266651631333635,0.427999548940009,0.1560479627123741,0.9362877762742445,0.14116777825138807,1.694013339016657,24.666666666666668,74.0,28.166666666666668,169.0,28.833333333333332,346.0,7597.829999999999,22793.489999999998,6615.458333333333,39692.75,8405.630833333335,100867.57,941.0,2823.0,874.5,5247.0,777.0833333333334,9325.0,0.09737257555254852
36,2244.15,1398.89,249764.22222222225,92226.30555555556,0,0,1055.0,17736.0,16009.0,90.3,2011-08-01,0.09737257555254852,0.09782363554352724,0.14698917456021654,0.19965042850699144,0.10873024894850514,31.0,24.0,41.0,27.0,1014.0,948.0,801.0,644.0,0.11840324763193504,0.3552097428958051,0.1469703803939257,0.8818222823635543,0.14195928408553996,1.7035114090264796,27.333333333333332,82.0,28.5,171.0,29.0,348.0,6112.79,18338.37,5788.875,34733.25,6825.462500000001,81905.55,980.3333333333334,2941.0,911.3333333333334,5468.0,812.3333333333334,9748.0,0.11282138024357236
26,14832.29,961.08,198065.38461538465,256609.11538461535,0,0,1063.0,17736.0,15735.0,88.7,2011-09-01,0.11282138024357236,0.09737257555254852,0.11039693279206131,0.1563486693730266,0.1353302262134819,36.0,27.0,25.0,29.0,1055.0,979.0,830.0,668.0,0.10186438129604569,0.3055931438881371,0.12992407156818522,0.7795444294091114,0.1410128113025436,1.692153735630523,31.333333333333332,94.0,27.666666666666668,166.0,29.75,357.0,6581.400000000001,19744.2,5202.831666666667,31216.99,6622.950833333333,79475.41,1016.0,3048.0,953.6666666666666,5722.0,846.5833333333334,10159.0,0.1514433919711322
29,4727.820000000001,3221.99,4456.586206896552,33252.51724137931,0,0,1077.0,17736.0,15050.0,84.9,2011-10-01,0.1514433919711322,0.11282138024357236,0.09782363554352724,0.17061344158773117,0.17469192149703328,26.0,31.0,23.0,10.0,1063.0,1014.0,896.0,693.0,0.10267253044654938,0.3080175913396481,0.12266952337994286,0.7360171402796571,0.13913707413838444,1.6696448896606133,31.0,93.0,27.833333333333332,167.0,29.5,354.0,7268.21,21804.63,7433.0199999999995,44598.119999999995,7143.628333333333,85723.54,1044.0,3132.0,992.5,5955.0,879.5,10554.0,0.12994923857868024
22,14052.91,4902.6,105258.86363636365,385416.2727272727,0,0,1125.0,17730.0,15426.0,87.0,2011-11-01,0.12994923857868024,0.1514433919711322,0.09737257555254852,0.14698917456021654,0.13475581926061164,29.0,36.0,24.0,41.0,1077.0,1055.0,948.0,723.0,0.12054578258908437,0.3616373477672531,0.1194745151105097,0.7168470906630582,0.1371996966778927,1.6463963601347122,30.333333333333332,91.0,28.833333333333332,173.0,31.083333333333332,373.0,7268.086666666667,21804.260000000002,6690.438333333334,40142.630000000005,6652.64,79831.68000000001,1065.0,3195.0,1022.6666666666666,6136.0,911.5,10938.0,0.13523111612175875
31,8832.1,1731.88,29796.290322580644,145688.03225806452,0,1,1177.0,17740.0,15341.0,86.5,2011-12-01,0.13523111612175875,0.12994923857868024,0.11282138024357236,0.11039693279206131,0.11589178128907585,22.0,26.0,27.0,41.0,1125.0,1063.0,979.0,759.0,0.1314046702644616,0.3942140107933848,0.11663452578025364,0.6998071546815219,0.13679914828773174,1.641589779452781,25.666666666666668,77.0,28.5,171.0,29.5,354.0,11204.340000000002,33613.020000000004,8892.87,53357.22,7664.912500000001,91978.95000000001,1088.3333333333333,3265.0,1052.1666666666667,6313.0,945.0,11340.0,0.14406633269994817
28,3575.97,1873.41,488060.3928571429,117288.35714285714,0,0,1208.0,17367.0,14865.0,85.6,2012-01-01,0.14406633269994817,0.13523111612175875,0.1514433919711322,0.09782363554352724,0.15228912945421746,31.0,29.0,31.0,29.0,1177.0,1077.0,1014.0,793.0,0.13887458222385707,0.4166237466715712,0.12077355633520322,0.7246413380112193,0.13841075952378865,1.6609291142854639,27.333333333333332,82.0,29.166666666666668,175.0,28.666666666666668,344.0,9204.276666666667,27612.83,8236.243333333334,49417.46,7425.850833333334,89110.21,1126.3333333333333,3379.0,1085.1666666666667,6511.0,979.8333333333334,11758.0,0.13519894051937587
32,3704.61,3208.36,32516.5625,118634.84375,0,0,1261.0,17367.0,15019.0,86.5,2012-02-01,0.13519894051937587,0.14406633269994817,0.12994923857868024,0.09737257555254852,0.19965042850699144,28.0,22.0,36.0,41.0,1208.0,1125.0,1055.0,801.0,0.13641556246679573,0.40924668740038717,0.12848067252794004,0.7708840351676403,0.13772552646093286,1.6527063175311945,27.0,81.0,28.666666666666668,172.0,28.583333333333332,343.0,8820.326666666666,26460.98,8044.206666666666,48265.24,6916.5408333333335,82998.49,1170.0,3510.0,1117.5,6705.0,1014.4166666666666,12173.0,0.14425470332850943
34,2286.7000000000003,873.38,81868.67647058824,70368.0294117647,1,1,1307.0,17275.0,14783.0,85.6,2012-03-01,0.14425470332850943,0.13519894051937587,0.13523111612175875,0.11282138024357236,0.1563486693730266,32.0,31.0,26.0,25.0,1261.0,1177.0,1063.0,830.0,0.13816546311369426,0.4144963893410828,0.13478506668907794,0.8087104001344676,0.1323545691286316,1.5882548295435792,30.333333333333332,91.0,28.0,168.0,27.833333333333332,334.0,5370.893333333333,16112.68,8287.616666666667,49725.700000000004,6745.224166666667,80942.69,1215.3333333333333,3646.0,1151.8333333333333,6911.0,1052.75,12633.0,0.13447178002894355
38,3782.48,2793.9500000000003,84454.57894736843,22723.78947368421,0,0,1329.0,17275.0,14952.0,86.6,2012-04-01,0.13447178002894355,0.14425470332850943,0.14406633269994817,0.1514433919711322,0.17061344158773117,34.0,28.0,29.0,23.0,1307.0,1208.0,1077.0,896.0,0.1411733255159445,0.42351997654783347,0.14002395386990077,0.8401437232194047,0.13134673862492183,1.5761608634990618,31.333333333333332,94.0,29.333333333333332,176.0,28.583333333333332,343.0,3189.0933333333337,9567.28,6196.685,37180.11,6814.8525,81778.23,1258.6666666666667,3776.0,1192.5,7155.0,1092.5,13110.0,0.09366136034732275
28,544.38,450.11,10252.035714285714,36069.96428571428,0,0,1373.0,17275.0,15657.0,90.6,2012-05-01,0.09366136034732275,0.13447178002894355,0.13519894051937587,0.12994923857868024,0.14698917456021654,38.0,32.0,22.0,24.0,1329.0,1261.0,1125.0,948.0,0.13797514129227628,0.41392542387682885,0.137195351879536,0.823172111277216,0.12833493349502287,1.5400192019402743,34.666666666666664,104.0,30.833333333333332,185.0,29.833333333333332,358.0,3257.9300000000003,9773.79,6039.128333333334,36234.770000000004,6364.783333333333,76377.4,1299.0,3897.0,1234.5,7407.0,1128.5833333333333,13543.0,0.07479015918958032
27,4313.93,537.69,45379.444444444445,38405.55555555556,1,1,1409.0,17275.0,15983.0,92.5,2012-06-01,0.07479015918958032,0.09366136034732275,0.14425470332850943,0.13523111612175875,0.11039693279206131,28.0,34.0,31.0,27.0,1373.0,1307.0,1177.0,979.0,0.12412928123492524,0.37238784370477573,0.13114737217430975,0.7868842330458585,0.1238909489772817,1.4866913877273804,33.333333333333336,100.0,31.833333333333332,191.0,30.166666666666668,362.0,2204.52,6613.56,3787.706666666667,22726.24,6340.288333333333,76083.45999999999,1336.3333333333333,4009.0,1275.8333333333333,7655.0,1164.0,13968.0,0.07518362153721592
27,6743.65,1801.51,265703.8888888889,485757.7037037037,0,0,1419.0,17291.0,15991.0,92.5,2012-07-01,0.07518362153721592,0.07479015918958032,0.13447178002894355,0.14406633269994817,0.09782363554352724,27.0,38.0,28.0,31.0,1409.0,1329.0,1208.0,1014.0,0.10097443318861554,0.3029232995658466,0.12107387935228002,0.7264432761136801,0.12092371784374162,1.4510846141248994,31.0,93.0,31.166666666666668,187.0,30.166666666666668,362.0,2880.263333333334,8640.79,3034.6783333333333,18208.07,5635.4608333333335,67625.53,1370.3333333333333,4111.0,1314.5,7887.0,1199.8333333333333,14398.0,0.08901284062518156
