Total_Accidents,Total_Release_BBLS,Total_Recovered_BBLS,Avg_Prop_Damage,Avg_Env_Damage,Total_Fatalities,Total_Injuries,Operational_Rigs,Distillation_Capacity,Refinery_Inputs,%_Utilization_of_Refinery_Operable_Capacity,Date
34,7562.18,2590.44,16872.529411764706,236234.20588235295,0,0,433.0,17597.0,14065.0,79.9,2010-01-01
16,13791.039999999999,29.950000000000003,78075.0625,15665.5,0,0,446.0,17584.0,14267.0,81.1,2010-02-01
32,3663.14,2689.6800000000003,79171.84375,30998.28125,0,0,471.0,17584.0,14630.0,83.2,2010-03-01
32,3054.18,392.01,104276.6875,148810.875,0,1,508.0,17589.0,15592.0,88.7,2010-04-01
30,5102.98,2841.72,949891.0,75947.83333333333,0,0,541.0,17589.0,15510.0,88.2,2010-05-01
29,6210.0599999999995,1475.72,25189.896551724138,499956.2413793103,0,0,566.0,17523.0,15893.0,90.7,2010-06-01
29,23690.21,18651.670000000002,133785.24137931035,21931824.03448276,1,1,591.0,17594.0,16040.0,91.2,2010-07-01
27,4674.29,1148.4,265007.9259259259,193617.8148148148,0,0,644.0,17594.0,15681.0,89.1,2010-08-01
29,8584.16,7893.32,112700.79310344828,584097.2068965518,0,0,668.0,17594.0,15213.0,86.5,2010-09-01
10,10619.68,10035.48,5110.0,34979.9,0,0,693.0,17528.0,14466.0,82.5,2010-10-01
41,1905.6399999999999,844.72,32518.439024390245,24202.268292682926,0,0,723.0,17528.0,15166.0,86.5,2010-11-01
41,11700.84,2513.58,47765.80487804878,496923.9268292683,0,1,759.0,17594.0,15555.0,88.4,2010-12-01
29,9687.69,4823.2699999999995,528758.9655172414,140889.9655172414,0,0,793.0,17736.0,15035.0,84.8,2011-01-01
41,5760.41,1183.71,18634.829268292684,71510.43902439025,0,0,801.0,17736.0,14195.0,80.0,2011-02-01
25,1451.16,855.73,59084.12,121082.92,0,0,830.0,17736.0,14963.0,84.4,2011-03-01
23,9183.310000000001,6782.49,40635.69565217391,911100.8260869565,0,0,896.0,17736.0,14710.0,82.9,2011-04-01
24,838.32,616.27,46222.083333333336,57983.875,0,0,948.0,17736.0,15129.0,85.3,2011-05-01
27,12771.86,4790.150000000001,62442.81481481482,41930.851851851854,0,0,979.0,17736.0,15778.0,89.0,2011-06-01
31,4728.19,467.3,212450.4193548387,196761.87096774194,0,0,1014.0,17736.0,16001.0,90.2,2011-07-01
36,2244.15,1398.8899999999999,249764.22222222222,92226.30555555556,0,0,1055.0,17736.0,16009.0,90.3,2011-08-01
26,14832.29,961.08,198065.38461538462,256609.11538461538,0,0,1063.0,17736.0,15735.0,88.7,2011-09-01
29,4727.820000000001,3221.99,4456.586206896552,33252.51724137931,0,0,1077.0,17736.0,15050.0,84.9,2011-10-01
22,14052.91,4902.6,105258.86363636363,385416.2727272727,0,0,1125.0,17730.0,15426.0,87.0,2011-11-01
31,8832.1,1731.8799999999999,29796.290322580644,145688.03225806452,0,1,1177.0,17740.0,15341.0,86.5,2011-12-01
28,3575.97,1873.4099999999999,488060.39285714284,117288.35714285714,0,0,1208.0,17367.0,14865.0,85.6,2012-01-01
32,3704.61,3208.36,32516.5625,118634.84375,0,0,1261.0,17367.0,15019.0,86.5,2012-02-01
34,2286.7000000000003,873.38,81868.67647058824,70368.0294117647,1,1,1307.0,17275.0,14783.0,85.6,2012-03-01
38,3782.48,2793.9500000000003,84454.57894736843,22723.78947368421,0,0,1329.0,17275.0,14952.0,86.6,2012-04-01
28,544.38,450.11,10252.035714285714,36069.96428571428,0,0,1373.0,17275.0,15657.0,90.6,2012-05-01
27,4313.93,537.69,45379.444444444445,38405.555555555555,1,1,1409.0,17275.0,15983.0,92.5,2012-06-01
27,6743.65,1801.51,265703.8888888889,485757.7037037037,0,0,1419.0,17291.0,15991.0,92.5,2012-07-01
30,1037.93,785.42,37115.53333333333,103031.5,0,0,1423.0,17211.0,15679.0,91.1,2012-08-01
33,7164.19,368.33,79666.75757575757,9107.727272727272,0,0,1409.0,17400.0,15248.0,87.6,2012-09-01
