Date,U.S. Gross Inputs to Refineries (Thousand Barrels Per Day),Date_Month_Number,Date_Month,Date_Year
1985-01-01,11583.0,1.0,Jan,1985.0
1985-02-01,11485.0,2.0,Feb,1985.0
1985-03-01,11484.0,3.0,Mar,1985.0
1985-04-01,11969.0,4.0,Apr,1985.0
1985-05-01,12269.0,5.0,May,1985.0
1985-06-01,12422.0,6.0,Jun,1985.0
1985-07-01,12663.0,7.0,Jul,1985.0
1985-08-01,12222.0,8.0,Aug,1985.0
1985-09-01,12096.0,9.0,Sep,1985.0
1985-10-01,12363.0,10.0,Oct,1985.0
1985-11-01,12629.0,11.0,Nov,1985.0
1985-12-01,12744.0,12.0,Dec,1985.0
1986-01-01,12583.0,1.0,Jan,1986.0
1986-02-01,12068.0,2.0,Feb,1986.0
1986-03-01,11759.0,3.0,Mar,1986.0
1986-04-01,12603.0,4.0,Apr,1986.0
1986-05-01,13314.0,5.0,May,1986.0
1986-06-01,13347.0,6.0,Jun,1986.0
1986-07-01,13009.0,7.0,Jul,1986.0
1986-08-01,13392.0,8.0,Aug,1986.0
1986-09-01,13191.0,9.0,Sep,1986.0
1986-10-01,12753.0,10.0,Oct,1986.0
1986-11-01,12928.0,11.0,Nov,1986.0
1986-12-01,12914.0,12.0,Dec,1986.0
1987-01-01,12725.0,1.0,Jan,1987.0
1987-02-01,12417.0,2.0,Feb,1987.0
1987-03-01,12237.0,3.0,Mar,1987.0
1987-04-01,12637.0,4.0,Apr,1987.0
1987-05-01,12848.0,5.0,May,1987.0
1987-06-01,13306.0,6.0,Jun,1987.0
1987-07-01,13612.0,7.0,Jul,1987.0
1987-08-01,13527.0,8.0,Aug,1987.0
1987-09-01,13328.0,9.0,Sep,1987.0
1987-10-01,12896.0,10.0,Oct,1987.0
1987-11-01,13074.0,11.0,Nov,1987.0
1987-12-01,13383.0,12.0,Dec,1987.0
1988-01-01,13175.0,1.0,Jan,1988.0
1988-02-01,12889.0,2.0,Feb,1988.0
1988-03-01,13241.0,3.0,Mar,1988.0
1988-04-01,13346.0,4.0,Apr,1988.0
1988-05-01,13638.0,5.0,May,1988.0
1988-06-01,13710.0,6.0,Jun,1988.0
1988-07-01,13804.0,7.0,Jul,1988.0
1988-08-01,13953.0,8.0,Aug,1988.0
1988-09-01,13356.0,9.0,Sep,1988.0
1988-10-01,13304.0,10.0,Oct,1988.0
1988-11-01,13354.0,11.0,Nov,1988.0
1988-12-01,13554.0,12.0,Dec,1988.0
1989-01-01,13502.0,1.0,Jan,1989.0
1989-02-01,12974.0,2.0,Feb,1989.0
1989-03-01,13131.0,3.0,Mar,1989.0
1989-04-01,13123.0,4.0,Apr,1989.0
1989-05-01,13566.0,5.0,May,1989.0
1989-06-01,14067.0,6.0,Jun,1989.0
