Date,U.S. Percent Utilization of Refinery Operable Capacity,Date_Month_Number,Date_Month,Date_Year
1985-01-01,74.0,1.0,Jan,1985.0
1985-02-01,73.8,2.0,Feb,1985.0
1985-03-01,73.7,3.0,Mar,1985.0
1985-04-01,76.5,4.0,Apr,1985.0
1985-05-01,78.4,5.0,May,1985.0
1985-06-01,79.3,6.0,Jun,1985.0
1985-07-01,80.8,7.0,Jul,1985.0
1985-08-01,77.7,8.0,Aug,1985.0
1985-09-01,76.9,9.0,Sep,1985.0
1985-10-01,78.6,10.0,Oct,1985.0
1985-11-01,80.3,11.0,Nov,1985.0
1985-12-01,81.2,12.0,Dec,1985.0
1986-01-01,81.4,1.0,Jan,1986.0
1986-02-01,77.9,2.0,Feb,1986.0
1986-03-01,75.9,3.0,Mar,1986.0
1986-04-01,81.5,4.0,Apr,1986.0
1986-05-01,86.0,5.0,May,1986.0
1986-06-01,86.3,6.0,Jun,1986.0
1986-07-01,84.1,7.0,Jul,1986.0
1986-08-01,86.8,8.0,Aug,1986.0
1986-09-01,85.5,9.0,Sep,1986.0
1986-10-01,82.6,10.0,Oct,1986.0
1986-11-01,83.7,11.0,Nov,1986.0
1986-12-01,83.6,12.0,Dec,1986.0
1987-01-01,81.8,1.0,Jan,1987.0
1987-02-01,79.9,2.0,Feb,1987.0
1987-03-01,78.6,3.0,Mar,1987.0
1987-04-01,81.2,4.0,Apr,1987.0
1987-05-01,82.5,5.0,May,1987.0
1987-06-01,85.4,6.0,Jun,1987.0
1987-07-01,86.7,7.0,Jul,1987.0
1987-08-01,86.7,8.0,Aug,1987.0
1987-09-01,85.5,9.0,Sep,1987.0
1987-10-01,82.7,10.0,Oct,1987.0
1987-11-01,82.3,11.0,Nov,1987.0
1987-12-01,83.9,12.0,Dec,1987.0
1988-01-01,82.8,1.0,Jan,1988.0
1988-02-01,80.9,2.0,Feb,1988.0
1988-03-01,83.3,3.0,Mar,1988.0
1988-04-01,84.0,4.0,Apr,1988.0
1988-05-01,85.7,5.0,May,1988.0
1988-06-01,86.0,6.0,Jun,1988.0
1988-07-01,86.5,7.0,Jul,1988.0
1988-08-01,87.4,8.0,Aug,1988.0
1988-09-01,83.7,9.0,Sep,1988.0
1988-10-01,83.4,10.0,Oct,1988.0
1988-11-01,83.9,11.0,Nov,1988.0
1988-12-01,85.1,12.0,Dec,1988.0
1989-01-01,86.2,1.0,Jan,1989.0
1989-02-01,82.8,2.0,Feb,1989.0
1989-03-01,83.8,3.0,Mar,1989.0
1989-04-01,83.7,4.0,Apr,1989.0
1989-05-01,86.5,5.0,May,1989.0
1989-06-01,89.6,6.0,Jun,1989.0
1989-07-01,88.9,7.0,Jul,1989.0
1989-08-01,89.3,8.0,Aug,1989.0
1989-09-01,88.4,9.0,Sep,1989.0
1989-10-01,86.1,10.0,Oct,1989.0
1989-11-01,86.1,11.0,Nov,1989.0
1989-12-01,84.0,12.0,Dec,1989.0
1990-01-01,87.8,1.0,Jan,1990.0
1990-02-01,87.9,2.0,Feb,1990.0
1990-03-01,83.9,3.0,Mar,1990.0
1990-04-01,85.0,4.0,Apr,1990.0
1990-05-01,87.1,5.0,May,1990.0
1990-06-01,89.1,6.0,Jun,1990.0
1990-07-01,92.4,7.0,Jul,1990.0
1990-08-01,90.7,8.0,Aug,1990.0
1990-09-01,91.1,9.0,Sep,1990.0
1990-10-01,83.5,10.0,Oct,1990.0
1990-11-01,84.2,11.0,Nov,1990.0
