Back to Contents,Data 1: U.S. Gross Inputs to Refineries (Thousand Barrels Per Day)
Sourcekey,MGIRIUS2
Date,U.S. Gross Inputs to Refineries (Thousand Barrels Per Day)
Jan-1985,11583
Feb-1985,11485
Mar-1985,11484
Apr-1985,11969
May-1985,12269
Jun-1985,12422
Jul-1985,12663
Aug-1985,12222
Sep-1985,12096
Oct-1985,12363
Nov-1985,12629
Dec-1985,12744
Jan-1986,12583
Feb-1986,12068
Mar-1986,11759
Apr-1986,12603
May-1986,13314
Jun-1986,13347
Jul-1986,13009
Aug-1986,13392
Sep-1986,13191
Oct-1986,12753
Nov-1986,12928
Dec-1986,12914
Jan-1987,12725
Feb-1987,12417
Mar-1987,12237
Apr-1987,12637
May-1987,12848
Jun-1987,13306
Jul-1987,13612
Aug-1987,13527
Sep-1987,13328
Oct-1987,12896
Nov-1987,13074
Dec-1987,13383
Jan-1988,13175
Feb-1988,12889
Mar-1988,13241
Apr-1988,13346
May-1988,13638
Jun-1988,13710
Jul-1988,13804
Aug-1988,13953
Sep-1988,13356
Oct-1988,13304
Nov-1988,13354
Dec-1988,13554
Jan-1989,13502
Feb-1989,12974
Mar-1989,13131
Apr-1989,13123
May-1989,13566
Jun-1989,14067
Jul-1989,13957
Aug-1989,14024
Sep-1989,13898
Oct-1989,13533
Nov-1989,13549
Dec-1989,13244
Jan-1990,13668
Feb-1990,13695
Mar-1990,13080
Apr-1990,13250
May-1990,13576
Jun-1990,13893
Jul-1990,14414
Aug-1990,14234
Sep-1990,14298
Oct-1990,13076
Nov-1990,13187
Dec-1990,12961
Jan-1991,12931
Feb-1991,13224
Mar-1991,13051
Apr-1991,13283
May-1991,13748
Jun-1991,14128
Jul-1991,13941
Aug-1991,14005
Sep-1991,13883
Oct-1991,13118
Nov-1991,13156
Dec-1991,13614
Jan-1992,13097
Feb-1992,12742
Mar-1992,13292
Apr-1992,13356
May-1992,13850
Jun-1992,14285
Jul-1992,14176
Aug-1992,13649
Sep-1992,13886
Oct-1992,13651
Nov-1992,13795
Dec-1992,13400
Jan-1993,13123
Feb-1993,13097
Mar-1993,13507
Apr-1993,13819
May-1993,14062
Jun-1993,14415
Jul-1993,14458
Aug-1993,14040
Sep-1993,14045
Oct-1993,13902
Nov-1993,13928
Dec-1993,13768
Jan-1994,13526
Feb-1994,13336
Mar-1994,13158
Apr-1994,14009
May-1994,14467
Jun-1994,14519
Jul-1994,14480
Aug-1994,14618
Sep-1994,14360
Oct-1994,13660
Nov-1994,14101
Dec-1994,14107
Jan-1995,13830
Feb-1995,13567
Mar-1995,13383
Apr-1995,13974
May-1995,14457
Jun-1995,14714
Jul-1995,14461
