Back to Contents,Data 1: U.S. Percent Utilization of Refinery Operable Capacity
Sourcekey,MOPUEUS2
Date,U.S. Percent Utilization of Refinery Operable Capacity
Jan-1985,74
Feb-1985,73.8
Mar-1985,73.7
Apr-1985,76.5
May-1985,78.4
Jun-1985,79.3
Jul-1985,80.8
Aug-1985,77.7
Sep-1985,76.9
Oct-1985,78.6
Nov-1985,80.3
Dec-1985,81.2
Jan-1986,81.4
Feb-1986,77.9
Mar-1986,75.9
Apr-1986,81.5
May-1986,86
Jun-1986,86.3
Jul-1986,84.1
Aug-1986,86.8
Sep-1986,85.5
Oct-1986,82.6
Nov-1986,83.7
Dec-1986,83.6
Jan-1987,81.8
Feb-1987,79.9
Mar-1987,78.6
Apr-1987,81.2
May-1987,82.5
Jun-1987,85.4
Jul-1987,86.7
Aug-1987,86.7
Sep-1987,85.5
Oct-1987,82.7
Nov-1987,82.3
Dec-1987,83.9
Jan-1988,82.8
Feb-1988,80.9
Mar-1988,83.3
Apr-1988,84
May-1988,85.7
Jun-1988,86
Jul-1988,86.5
Aug-1988,87.4
Sep-1988,83.7
Oct-1988,83.4
Nov-1988,83.9
Dec-1988,85.1
Jan-1989,86.2
Feb-1989,82.8
Mar-1989,83.8
Apr-1989,83.7
May-1989,86.5
Jun-1989,89.6
Jul-1989,88.9
Aug-1989,89.3
Sep-1989,88.4
Oct-1989,86.1
Nov-1989,86.1
Dec-1989,84
Jan-1990,87.8
Feb-1990,87.9
Mar-1990,83.9
Apr-1990,85
May-1990,87.1
Jun-1990,89.1
Jul-1990,92.4
Aug-1990,90.7
Sep-1990,91.1
Oct-1990,83.5
Nov-1990,84.2
Dec-1990,82.8
Jan-1991,82.5
Feb-1991,84.4
Mar-1991,83.2
Apr-1991,84.6
May-1991,87.5
Jun-1991,89.8
Jul-1991,88.8
Aug-1991,89.1
Sep-1991,88.3
Oct-1991,83.4
Nov-1991,83.7
Dec-1991,86.6
Jan-1992,83.4
Feb-1992,81.3
Mar-1992,85.1
Apr-1992,85.5
May-1992,89.4
Jun-1992,92.4
Jul-1992,91.9
Aug-1992,89.1
Sep-1992,90.7
Oct-1992,89.3
Nov-1992,90.1
Dec-1992,87.5
Jan-1993,86.8
Feb-1993,86.6
Mar-1993,89.3
Apr-1993,91.3
May-1993,92.8
Jun-1993,95.1
Jul-1993,95.1
Aug-1993,92.7
Sep-1993,92.8
Oct-1993,91.8
Nov-1993,91.9
Dec-1993,91.2
Jan-1994,89.8
Feb-1994,88.7
Mar-1994,87.6
Apr-1994,92.4
May-1994,95.4
Jun-1994,95.8
Jul-1994,95.5
Aug-1994,96.4
Sep-1994,94.4
Oct-1994,89.8
Nov-1994,92.7
Dec-1994,92.6
Jan-1995,89.6
Feb-1995,87.9
Mar-1995,86.7
Apr-1995,90.5
May-1995,94
Jun-1995,95.6
Jul-1995,94
Aug-1995,94
Sep-1995,95.6
Oct-1995,90.5
Nov-1995,92.1
Dec-1995,93.3
Jan-1996,90.6
Feb-1996,90.2
Mar-1996,91.8
Apr-1996,95
May-1996,95.8
Jun-1996,96.4
Jul-1996,94.9
Aug-1996,95
Sep-1996,95.9
Oct-1996,94.6
Nov-1996,94.2
Dec-1996,94.3
Jan-1997,89.1
Feb-1997,88
Mar-1997,90.6
